(2020-01-28 18:38:55.060697) | Strategy init with wallet: BNBUSDT
(2020-01-28 18:38:55.131478) | Loading in model line: ['1', '7', '[0.4655802887763667,0.1850513204040949,0.33205626690030077,0.20056047866586268,0.7756512434753322,0.47637980195238183,0.5908468548928777,0.19791534912320907,0.2107017255481577,0.2275502623106419,0.15804246202986882,0.8927788059957,0.6601741783540562,0.95772677511936,0.6759466081109753,0.8589967798231525,0.2531537623270117,0.47912173724610874,0.7330351031901011,0.9658776065070145,0.8267938219084634,0.3565054824930445,0.10391474856037963,0.6096284358641096,0.4034556663250971,0.34955993622208914,0.4658083807317127,0.5448214287309064,0.8448042869228846,0.8175608320079053,0.19230449218847656,0.6224633927269928,0.14599283778004568,0.4932914617511388,0.4112539823417166,0.8403619502385087,0.4900877946023048,0.6161479782640202,0.8654136803024882,0.10877689569050286,0.5053767625723043,0.9532193984634271,0.7161646521203628,0.7646304586914638,0.8710661468081587,0.18575841607631383,0.15157764693374676,0.7953465587601435,0.947966241884727,0.4933143379856988,0.5535778861010663,0.7253488146535065,0.9718366817480814,0.2175880796906018,0.9385549348440414,0.21562949589666514,0.8856206237034281,0.2387046366414688,0.09798370260791256,0.542133969122929,0.32228465762743774,0.48556063530760707,0.7003758730961118,0.6422488387911133,0.5907158167243607,0.9106824326165774,0.677085349179895,0.1855947795239693,0.005344013518059798,0.1343351082289017,0.36200578899953073,0.4561860619663035,0.21132642778916744,0.722952695909502,0.03533489277556112,0.39133064904498327,0.4297903965961064,0.22376233512428656,0.8973022023069653,0.48329727472499884,0.04158655636381614,0.24599354583938726,0.3665414512373898,0.37228511574055645,0.2681698034955763,0.1168182777384904,0.050698347819193135,0.9522116096329177,0.5680101160904881,0.28087178059530193,0.5913352358987833,0.7695017245728357,0.09165916930772466,0.4729838652519033,0.7824272626078023,0.6909734790457592,0.8769829199220275,0.7783441887618553,0.5677606759288466,0.3367864860297102,0.11869090132780657,0.4367000013131678,0.45036207372457127,0.7263145951941683,0.1847350920340849,0.4670813060094562,0.08657066363403465,0.697745184350579,0.6364514351093817,0.7354405605368447,0.7206849508170448,0.037693346907401226,0.6883772723082942,0.5101272164721474,0.16360106342392067,0.5384274587540917,0.66686969346501,0.8537020751282713,0.647374642030389,0.6420153227853092,0.6763647652954954,0.3203079230749004,0.49814300065026407,0.9986758111790426,0.9355699645287686,0.018426074845716678,0.30460262199202826,0.3585130870218420]', '0']
(2020-01-28 18:38:55.146765) | Loading in model line: ['1', '8', '[0.254871298664923,0.34060892926843633,0.475672902106521,0.16566860210065149,0.07837200589435478,0.23819479714508762,0.5593048403156322,0.6667802862089764,0.6029427839396305,0.6128909715639733,0.5598303319288238,0.29551196061469676,0.7967578950264199,0.7670966695425319,0.09696161335679043,0.04033198041908337,0.16939312486793834,0.7587510179944674,0.7244265953631862,0.6191250215605363,0.28626536556660775,0.7694653577713292,0.8713252052735303,0.349906236781232,0.980373214906318,0.6878441529067876,0.403550125297071,0.17933739415470762,0.07183837617143551,0.9626258075773613,0.2661373486858084,0.9540179693136884,0.6742410806740738,0.5164896785022837,0.5143540777790688,0.031594810902890846,0.6131145428494997,0.6623355222820658,0.46806404906485866,0.3303234207228093,0.4458089031725134,0.35194603543895653,0.5048841102323136,0.5273321739941781,0.0774676847950414,0.20851850481460055,0.8083445674333927,0.05183861562535752,0.1908846955508542,0.00924886491358945,0.2331744356297315,0.7261394966345437,0.7025145792838264,0.8592471647886962,0.5080993988858795,0.04749439875841677,0.7224182069523198,0.3148046008186164,0.15341123268098433,0.45600914338384324,0.8098120932568996,0.3736671488037616,0.5065194459965401,0.36903307709836175,0.5022911078075988,0.4273702749532421,0.020844003617617846,0.033787200398059714,0.47934457287648613,0.9634524791013156,0.47406023415941867,0.7034054572490083,0.891323670636695,0.2505967634020184,0.8134146728578712,0.35973667676395404,0.9788347368919564,0.47282224903227643,0.82370578105075,0.037071382545761145,0.2045592682755255,0.3659993863745773,0.4780245080869643,0.06466041154825053,0.0013284109957995005,0.4011266707716641,0.615742495935031,0.6712652633876592,0.002984803259445279,0.07316765159559502,0.23220935830214928,0.4686161576555542,0.18649970957865525,0.507267249249818,0.28501160611120835,0.26091230970914103,0.13065683223583024,0.4242563850974208,0.4489846940303611,0.010018531216755555,0.10448959961305937,0.7099840510904151,0.5381721188052203,0.0022691273855672822,0.1448822496764961,0.9816459438583658,0.7723989430746829,0.7320510226659838,0.7471569055004783,0.6311009714665892,0.7571748955231251,0.29206691401814355,0.7384655980078312,0.9065937739942551,0.5954336656447217,0.4231393545270724,0.22815963028325537,0.10924579835389092,0.9231695529008007,0.5008976017914558,0.27969642165900466,0.46343377984189504,0.1568809499049364,0.8199224331848668,0.9260739326644369,0.32401103276596166,0.9485157226384798,0.525409636470356]', '0']
(2020-01-28 18:38:55.147767) | Loading in model line: ['1', '9', '[0.9053318545974155,0.20715182179590053,0.7085210503550475,0.7393762586795898,0.6143258812506184,0.7339699627062998,0.8900002272925985,0.6469383296940628,0.21356409257173203,0.0061214674468896835,0.5516502520766705,0.21154139034305797,0.6875335438646389,0.6428236982894369,0.5714801221145234,0.6916060696879053,0.43914896326333785,0.9585537613679498,0.4319446409700127,0.29802397422430915,0.15359938995437417,0.5115193490357814,0.3086522387966608,0.8806781441140157,0.9853416726270791,0.9729815269404856,0.10350358768464585,0.7793096530376711,0.3275512517739676,0.027924659881737646,0.3488988260509114,0.21402163350037273,0.8194173185186967,0.6914237171116622,0.28400914572659164,0.7826240057507196,0.23283590089749095,0.7397015751816883,0.5349725569323872,0.07785330267539459,0.26878635209989254,0.880304877690479,0.64854550473302,0.47924840698823046,0.7705459555934188,0.6796745558646253,0.8018357511792041,0.34793278648006065,0.10646791150558932,0.04193960873720792,0.5582863985970992,0.7355161482703316,0.80562420725691,0.43323560835165276,0.3277379932818525,0.026332137818923296,0.06506070898061755,0.09604736328526464,0.6091771163644303,0.46815697653413046,0.7156821220346199,0.012021524400915418,0.6215023965744747,0.9712521376313188,0.28251278667940516,0.24494644456826298,0.8804026146331232,0.3703347872869227,0.6511531403817994,0.005286027712955388,0.4424572760435187,0.9850973763362513,0.36515606617271723,0.09096690119355944,0.1460419575392773,0.6787357629457893,0.5151909375000862,0.29977006815264773,0.5473289594025255,0.4362677327587049,0.3446297288024174,0.8986467072162512,0.9599879434820786,0.3251020945719515,0.23339751292797606,0.4644638048517282,0.7163341275382024,0.7228950458013081,0.7778342746344543,0.09032918918533583,0.6558616533627906,0.15277218076455923,0.9947677977963266,0.03118738063492299,0.5631570135939151,0.17567711979715217,0.059968466656308506,0.46180362340686665,0.3858059608353276,0.33608442953847406,0.6800807959306028,0.0883284974749804,0.23909226718125498,0.29068276545456295,0.8924835068702247,0.9946732889577887,0.9135712515591093,0.5108479291338907,0.575204561329998,0.3354805029771656,0.48957003652215836,0.28700481847522796,0.5974362764735621,0.9363666291893857,0.7605250643532976,0.6325654138452481,0.8503505919841083,0.42760320577476274,0.8374396589232026,0.8078943623785052,0.20668811315291968,0.47120176576771977,0.3462562313367633,0.04435933442384732,0.41849496539554987,0.9741120075005867,0.8160894955158408,0.781416494463109]', '0']
(2020-01-28 18:38:55.163497) | Loading in model line: ['1', '10', '[0.9377281425461139,0.02004385425387678,0.22802792078637457,0.5068360759717195,0.5887879713023761,0.9831389194667016,0.9606460679855542,0.38410479083748617,0.316388663610928,0.46389696006959313,0.9429309422745961,0.7616491086514364,0.6939816572354496,0.4045108538077503,0.7185559128281898,0.33626658143280175,0.5778486534523947,0.7659844483088162,0.5746148752296617,0.7400211634292587,0.6686627225004269,0.9057119854749037,0.6082543421519622,0.5635841166426422,0.587487978793921,0.5689724768820011,0.7887688185268846,0.4392817460467079,0.01945573573387127,0.7586410022196941,0.94691979199263,0.7379271168541416,0.6841230790276525,0.47039319703920324,0.33844754007103994,0.14710444710233428,0.036004347234008804,0.06660069345224673,0.5847959581495613,0.7308549817868106,0.5364132214234998,0.05615789983573116,0.39709262606154516,0.10456927631708268,0.3835567035399676,0.21880673931324868,0.44277640909532723,0.17863268492884887,0.65552585648215,0.21010538971332426,0.03233894165071782,0.2530460771224582,0.18671211608923133,0.9539644598322673,0.7037365806649001,0.29026321298107693,0.44985460070728944,0.31628542702511286,0.8255182107140269,0.2647515851909542,0.14876670503993372,0.23930837926840653,0.09016005594100573,0.2827897312478961,0.3920871876118396,0.24660173945385144,0.17451704614105457,0.09529142148259306,0.23906345294114595,0.15685180590441672,0.2551428158749738,0.3739064197336174,0.5998400427993363,0.3498641225906315,0.4723691952744924,0.27326598265225976,0.7697937442180209,0.592570860254192,0.5891093586913472,0.4603214845418191,0.9470813758013914,0.6911302812707573,0.8444692873328202,0.6272322402370979,0.715677988256991,0.651176153930915,0.31457751582943727,0.7157020455753392,0.30933987566492094,0.18639110269247472,0.5224792462533134,0.49218221769793924,0.9227468986550325,0.9586115903866994,0.9905639742248661,0.34455862561435413,0.1292036106082528,0.032426973459778186,0.8169319794760779,0.10178402895708327,0.8929818860030331,0.38727351252660647,0.0733135059899499,0.4407705995289377,0.4656440765543415,0.8016972104289487,0.41724715391374345,0.06668792490050501,0.36259444758268755,0.6396844073212078,0.2866514668213346,0.033328386045937464,0.6839596889242844,0.475957291265086,0.6042786233025619,0.8213264394744998,0.9103050162762252,0.6807823664418772,0.17661073332278054,0.8687806932622437,0.6018243157198734,0.8572470610694505,0.06958557274770094,0.42616468955641307,0.9530275736007682,0.22193336338862402,0.4944327424973295,0.0416329302448197]', '0']
(2020-01-28 18:38:55.164495) | Loading in model line: ['1', '11', '[0.960819607901599,0.8681227611567343,0.41823985053832013,0.2946101078167601,0.03842613892206992,0.7099999399290231,0.8164366638226876,0.9396337889772218,0.625927131555905,0.8054844919698044,0.5215123692884619,0.6487241519143883,0.19779429321053266,0.9202906813815391,0.2967160428862293,0.024094850145651714,0.7459004338101348,0.3277911326985593,0.9122216806910357,0.8957632827585561,0.4139846239139051,0.8814004206941983,0.116825994317859,0.14267463748831755,0.12031300206643802,0.6257817383149706,0.3786683623806931,0.9656791093224039,0.03066242882459258,0.24509327649919255,0.5957046709811835,0.6578779848036724,0.3609725262867154,0.799487179218357,0.1331533686669103,0.875868304824255,0.40312650846827147,0.12549246429598138,0.07358776040823933,0.32094681211567144,0.98786112869488,0.2726432769287723,0.7321525008587664,0.9506578860950738,0.6863395184617709,0.12841612767460175,0.054859912485227924,0.5713898756411838,0.7072887432398748,0.3852436940495858,0.534110759418132,0.12959988992761118,0.6122780234504333,0.0456736493314186,0.1478343551713781,0.1048472374646392,0.01007990864181707,0.005483369793379489,0.36170448544177103,0.6730603936601091,0.8763880550195925,0.7910630929336919,0.6122648880804146,0.38358277392518714,0.6967026988573148,0.9859320904250493,0.9510860529276374,0.02499055378862325,0.9371883302335241,0.48769059478371923,0.6660960878928206,0.1385120984122693,0.4800067403148187,0.9990079047282443,0.5876559968871352,0.21200582067906548,0.037961557456231754,0.9885793604156708,0.415328603275385,0.9150098002677728,0.11594448178208572,0.9983088772953786,0.6153947451262178,0.13341774163317355,0.9726833321388867,0.35397952544123346,0.94677305014014,0.40709813808377426,0.21891567303835824,0.4268833614394074,0.6902837347295572,0.9099404003252407,0.1587674665266996,0.7629992299852278,0.1106315003017051,0.525609025779902,0.4204975759667614,0.6915448142002676,0.10106725188787269,0.6185863954060379,0.3834764389203452,0.3136198907239951,0.9585881586083029,0.9480347534239891,0.9843870585106617,0.36806125227893693,0.06108106497251897,0.28216457547340656,0.10569981609724188,0.6691702192654922,0.924630351492132,0.24137041223281697,0.1966273090617272,0.23409763166058217,0.5717934337685153,0.5932639489746379,0.21654332082345018,0.7253198091837035,0.9548669066140908,0.9851617437322749,0.5010196466028787,0.6743326550545381,0.23162345974860532,0.9141134309509821,0.2714148985553645,0.9006302606050485,0.7477448193249827,0.326499497065060]', '0']
(2020-01-28 18:38:55.180988) | Loading in model line: ['2', '0', '[0.8872526515853978,0.48349228483195905,0.30593677365751837,0.6184045327773844,0.05869380718600081,0.8282699671698011,0.8849363576938228,0.8481795496073555,0.43595134954210657,0.187641595704361,0.6620757658670283,0.444005649839195]', '0']
(2020-01-28 18:38:58.530000) | Neuron 0 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.530000) | Neuron 1 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.530000) | Neuron 2 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.530000) | Neuron 3 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.530000) | Neuron 4 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.530000) | Neuron 5 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.530000) | Neuron 6 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.530000) | Neuron 7 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.530000) | Neuron 8 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.530000) | Neuron 9 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.530000) | Neuron 10 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.530000) | Neuron 11 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.530000) | Neuron 12 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.530000) | Neuron 13 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.530000) | Neuron 14 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.530000) | Neuron 15 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.530000) | Neuron 16 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.530000) | Neuron 17 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.530000) | Neuron 18 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.530000) | Neuron 19 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.530000) | Neuron 20 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.530000) | Neuron 21 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.530000) | Neuron 22 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.530000) | Neuron 23 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.530000) | Neuron 24 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.530000) | Neuron 25 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.530000) | Neuron 26 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.530000) | Neuron 27 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.530000) | Neuron 28 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.530000) | Neuron 29 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.530000) | Neuron 30 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.530000) | Neuron 31 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.530000) | Neuron 32 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.530000) | Neuron 33 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.530000) | Neuron 34 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.530000) | Neuron 35 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.530000) | Neuron 36 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.530000) | Neuron 37 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.530000) | Neuron 38 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.530000) | Neuron 39 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.530000) | Neuron 40 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.530000) | Neuron 41 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.530000) | Neuron 42 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.530000) | Neuron 43 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.530000) | Neuron 44 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.530000) | Neuron 45 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.530000) | Neuron 46 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.530000) | Neuron 47 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.545894) | Neuron 48 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.545894) | Neuron 49 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.545894) | Neuron 50 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.545894) | Neuron 51 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.545894) | Neuron 52 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.545894) | Neuron 53 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.545894) | Neuron 54 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.545894) | Neuron 55 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.545894) | Neuron 56 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.546896) | Neuron 57 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.546896) | Neuron 58 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.546896) | Neuron 59 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.546896) | Neuron 60 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.546896) | Neuron 61 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.546896) | Neuron 62 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.546896) | Neuron 63 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.546896) | Neuron 64 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.546896) | Neuron 65 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.546896) | Neuron 66 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.546896) | Neuron 67 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.547905) | Neuron 68 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.547905) | Neuron 69 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.547905) | Neuron 70 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.547905) | Neuron 71 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.547905) | Neuron 72 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.547905) | Neuron 73 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.547905) | Neuron 74 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.547905) | Neuron 75 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.547905) | Neuron 76 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.547905) | Neuron 77 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.547905) | Neuron 78 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.547905) | Neuron 79 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.547905) | Neuron 80 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.547905) | Neuron 81 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.547905) | Neuron 82 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.547905) | Neuron 83 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.547905) | Neuron 84 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.547905) | Neuron 85 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.547905) | Neuron 86 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.547905) | Neuron 87 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.547905) | Neuron 88 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.547905) | Neuron 89 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.547905) | Neuron 90 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.547905) | Neuron 91 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.547905) | Neuron 92 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.547905) | Neuron 93 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.547905) | Neuron 94 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.547905) | Neuron 95 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.547905) | Neuron 96 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.547905) | Neuron 97 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.547905) | Neuron 98 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.547905) | Neuron 99 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.547905) | Neuron 100 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.547905) | Neuron 101 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.547905) | Neuron 102 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.547905) | Neuron 103 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.547905) | Neuron 104 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.547905) | Neuron 105 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.547905) | Neuron 106 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.547905) | Neuron 107 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.547905) | Neuron 108 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.547905) | Neuron 109 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.547905) | Neuron 110 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.568614) | Neuron 111 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.568614) | Neuron 112 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.568614) | Neuron 113 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.568614) | Neuron 114 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.568614) | Neuron 115 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.568614) | Neuron 116 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.568614) | Neuron 117 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.568614) | Neuron 118 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.568614) | Neuron 119 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.568614) | Neuron 120 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.568614) | Neuron 121 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.568614) | Neuron 122 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.568614) | Neuron 123 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.568614) | Neuron 124 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.568614) | Neuron 125 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.568614) | Neuron 126 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.568614) | Neuron 127 in layer: 0 has weights and biasNone bias: 0
(2020-01-28 18:38:58.568614) | Neuron 0 in layer: 1 has weights and bias[0.32265035647279683, 0.8196113697304074, 0.013109385219212788, 0.9788680821926101, 0.2639174939260349, 0.047860311934016075, 0.052941082781520654, 0.32711181610826634, 0.9462677973490079, 0.6136668775849016, 0.11155034820413445, 0.5165509730066689, 0.5854032909706026, 0.2781351073254468, 0.6545338636759389, 0.54725499237042, 0.3808765239353519, 0.8980740555241026, 0.9555510632748434, 0.7336941732234147, 0.3247223334635151, 0.784754641245535, 0.9537257995227325, 0.5691399666524909, 0.6348040506030543, 0.03895466293829397, 0.21397940561252182, 0.9093170892478708, 0.27075661351976643, 0.8013062536159196, 0.9961600526350209, 0.31493821781756326, 0.467648312661475, 0.9511763935742458, 0.1539340028466203, 0.5761281745813205, 0.01826636123414882, 0.30271053297186035, 0.5678738187525147, 0.21651704185127696, 0.9466491850412261, 0.10512868291262845, 0.8681000567779038, 0.5409129780367562, 0.0350275378606425, 0.7636366513878479, 0.0889854930969396, 0.290846222946299, 0.020413720938836533, 0.4937568917775107, 0.5292571170136778, 0.1296815187935917, 0.1393266817022134, 0.4701011503293895, 0.9748379418551741, 0.24972487883448868, 0.5424514257001632, 0.6342602052837817, 0.734772450988596, 0.30879415012871914, 0.48239300174665967, 0.2654903490176225, 0.23262896759589724, 0.9574985767273685, 0.8917512955297309, 0.9998530662824443, 0.6758582572658496, 0.2900899745813502, 0.295615722303466, 0.10369597854215384, 0.878579992043315, 0.40142178879274626, 0.9802765146682325, 0.7413692201837352, 0.9709971272156209, 0.780008018141195, 0.3475324079196308, 0.09374943427566218, 0.31061086536740645, 0.6416867231330716, 0.36698481168317276, 0.4850582671584751, 0.7678298838444982, 0.10020967281602189, 0.7614671896693671, 0.6150987311248997, 0.6197270102434005, 0.40663609935288225, 0.4680110126555215, 0.14650915428222433, 0.6654613561703403, 0.62859433169169, 0.414287463773911, 0.576306808292783, 0.8066670801652811, 0.041150224121897616, 0.8601250739318714, 0.8996359970601806, 0.2210329626935721, 0.7448473135647165, 0.4488035413025251, 0.7686747074007966, 0.43566550288744876, 0.8863762674553902, 0.6745663726555429, 0.24168704504173422, 0.4692964519813453, 0.11472993907467544, 0.23156845893182143, 0.6649518782747532, 0.27808802207402983, 0.9563883869798022, 0.47914818705054074, 0.8947417255353441, 0.2709785816411072, 0.9847492872268888, 0.29380184081160776, 0.5436708756069074, 0.4075380794842003, 0.020714321667198554, 0.566909848770196, 0.009864661392235297, 0.01713979741448579, 0.6601821793771878, 0.7348572719115394, 0.5581821729402151, 0.227839978228628, 0.81102817275275] bias: 0.0
